event,agent,agent_type,patient,patient_type,action,event_type,event_file_name
girl_gran_push,girl,human,gran,human,push,reversible,girl_gran_push.png
girl_gran_elbow,girl,human,gran,human,elbow,reversible,girl_gran_elbow.png
girl_gran_prod,girl,human,gran,human,prod,reversible,girl_gran_prod.png
girl_granpa_kick,girl,human,granpa,human,kick,reversible,girl_granpa_kick.png
girl_granpa_push,girl,human,granpa,human,push,reversible,girl_granpa_push.png
girl_granpa_elbow,girl,human,granpa,human,elbow,reversible,girl_granpa_elbow.png
girl_granpa_prod,girl,human,granpa,human,prod,reversible,girl_granpa_prod.png
boy_gran_kick,boy,human,gran,human,kick,reversible,boy_gran_kick.png
boy_gran_push,boy,human,gran,human,push,reversible,boy_gran_push.png
boy_gran_elbow,boy,human,gran,human,elbow,reversible,boy_gran_elbow.png
boy_gran_prod,boy,human,gran,human,prod,reversible,boy_gran_prod.png
boy_granpa_kick,boy,human,granpa,human,kick,reversible,boy_granpa_kick.png
boy_granpa_push,boy,human,granpa,human,push,reversible,boy_granpa_push.png
boy_granpa_elbow,boy,human,granpa,human,elbow,reversible,boy_granpa_elbow.png
boy_granpa_prod,boy,human,granpa,human,prod,reversible,boy_granpa_prod.png
